FIPS,"Berries, Other",Berry Totals,Blackberries,Blueberries,Boysenberries,Cranberries,Currants,Loganberries,Raspberries,Strawberries
17045,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
17047,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17049,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0
17051,0.0,6.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
17055,0.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0
17057,0.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
17061,0.0,6.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0
17065,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
17067,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17073,0.0,7.0,0.0,6.0,0.0,0.0,0.0,0.0,5.0,4.0
17075,2.0,9.0,4.0,3.0,0.0,0.0,2.0,0.0,7.0,7.0
17077,0.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0
17079,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
17081,2.0,8.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0,6.0
17083,0.0,17.0,15.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0
17085,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
17087,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
17089,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0
17091,2.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
17093,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
17095,0.0,6.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0
17097,0.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0
17099,2.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0
17101,0.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0
17103,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0
17109,0.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,4.0
